#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
38,"Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj,Ice Spice,Aqua",86,144,"hip pop, pop, queens hip hop, rap, bronx drill, bubblegum dance, eurodance, europop","Pop, Hip Hop","Barbie World (with Aqua) [From Barbie The Album]",2023-06-23,01:49,77,58,52,0,75,20,20,-8,C Major,4,2023-06-27,741UUVE2kuITl0c6zuqqbO,"Atlantic Records",8B,https://p.scdn.co/mp3-preview/f654928ccaa4e6a9fb09a6eb3f208383eccc12a9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517e8f938c02fac3b564931116
39,"La Bebe - Remix","Yng Lvcas,Peso Pluma",90,170,"reggaeton, urbano mexicano, corridos tumbados, sad sierreno","Latin","La Bebe (Remix)",2023-03-17,03:54,81,48,21,0,56,30,0,-6,D Minor,4,2023-12-26,2UW7JaomAMuX9pZrjVpHAU,"WM Mexico",7A,https://p.scdn.co/mp3-preview/57c5d5266219b32d455ed22417155bbabde7170f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a04be3ad7c8c67f4109111a9
40,"K-POP","Travis Scott,Bad Bunny,The Weeknd",81,121,"hip hop, rap, slap house, reggaeton, trap latino, urbano latino, canadian contemporary r&b, canadian pop, pop","R&B, Pop, Hip Hop, Latin, Electronic","K-POP",2023-07-21,03:05,81,62,4,0,54,0,60,-6,F Minor,4,2023-07-21,5L3ecxQnQ9qTBmnLQiwf0C,"Cactus Jack/Epic",4A,https://p.scdn.co/mp3-preview/011ff5d71b1fad87bc1f4bed5a1abab3e0500426?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851893489768de0c42b4d217b82
41,"Houdini","Dua Lipa",94,117,"dance pop, pop, uk pop","Pop","Houdini",2023-11-09,03:05,74,79,0,0,87,0,0,-5,A Minor,4,2023-11-10,4OMJGnvZfDvsePyCwRGO7X,"Warner Records",8A,https://p.scdn.co/mp3-preview/df4af86970ffb1a7042d1d228bcea7b4aabfdba4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851001d5706fddc72561f6488af
42,"Moonlight","Kali Uchis",86,137,"colombian pop","Pop","Moonlight",2023-02-24,03:07,64,72,51,0,88,0,10,-6,G Minor,4,2023-05-24,2i2gDpKKWjvnRTOZRhaPh2,"Geffen Records",6A,,https://i.scdn.co/image/ab67616d00004851b13b4a434585f484548e42c9
43,"get him back!","Olivia Rodrigo",87,162,"pop","Pop","GUTS",2023-09-08,03:31,55,85,1,0,74,10,60,-6,F Major,4,2023-09-08,2gyxAWHebV7xPYVxqoi86f,"Olivia Rodrigo PS",7B,,https://i.scdn.co/image/ab67616d00004851e85259a1cae29a8d91f2093d
44,"Super Shy","NewJeans",90,150,"k-pop, k-pop girl group","Pop","NewJeans 'Super Shy'",2023-07-07,02:34,78,82,18,0,52,0,10,-6,F Minor,4,2023-07-20,5sdQOyqq2IDhvmx2lHOpwd,"ADOR",4A,https://p.scdn.co/mp3-preview/dab062e2cc708a2680ce84953a3581c5a679a230?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513d98a0ae7c78a3a9babaf8af
45,"Nonsense","Sabrina Carpenter",90,139,"pop","Pop","emails i can't send",2022-07-15,02:43,74,70,3,0,73,0,20,-5,G#/A♭ Major,4,2023-01-22,6dgUya35uo964z7GZXM07g,"Island Records",4B,,https://i.scdn.co/image/ab67616d00004851700f7bf79c9f063ad0362bdf
46,"Romantic Homicide","d4vd",91,132,"bedroom pop","Pop","Romantic Homicide",2022-07-20,02:12,57,54,45,1,22,0,30,-11,F#/G♭ Major,4,2023-11-29,1xK59OXxi2TAAAbmZK0kBL,"Darkroom/Interscope Records",2B,,https://i.scdn.co/image/ab67616d00004851bd1a52b3d5903ee01c216da0
47,"I Wanna Be Yours","Arctic Monkeys",96,68,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","AM",2013-09-09,03:03,46,42,14,2,48,0,10,-9,C Minor,4,2023-12-26,5XeFesFbtLpXzIVDNQP22n,"Domino Recording Co",5A,https://p.scdn.co/mp3-preview/07de30bde8363d9ff78b72339245c151f67af451?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163
