#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"As It Was","Harry Styles",45,174,"pop","Pop","As It Was",2022-03-31,02:47,52,73,34,0,66,0,30,-5,F#/G♭ Minor,4,2022-03-31,4LRPiXqCikLlN15c3yImP7,"Columbia",11A,,https://i.scdn.co/image/ab67616d00004851b46f74097655d7f353caab14
2,"Anti-Hero","Taylor Swift",92,97,"pop","Pop","Midnights",2022-10-21,03:20,64,64,13,0,53,0,10,-7,E Major,4,2022-10-22,0V3wPSX9ygBnCm8psDIegu,"Taylor Swift",12B,,https://i.scdn.co/image/ab67616d00004851bb54dde68cd23e2a268ae0f5
3,"Heat Waves","Glass Animals",26,81,"gauze pop, indietronica, modern rock, pov: indie, shiver pop","Pop, Rock","Dreamland (+ Bonus Levels)",2020-08-06,03:58,76,53,44,0,53,0,0,-7,B Major,4,2022-01-16,02MWAaffLxlfxAUY7c5dvx,"Polydor Records",1B,,https://i.scdn.co/image/ab67616d000048519e495fb707973f3390850eea
4,"Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",85,131,"pop, uk pop, alt z, transpop","Pop","Unholy (feat. Kim Petras)",2022-09-22,02:36,71,47,1,0,24,0,20,-7,D Major,4,2022-09-23,3nqQXoyQOWXiESFLlDF1hG,"Capitol Records UK / EMI",10B,,https://i.scdn.co/image/ab67616d00004851a935e4689f15953311772cc4
5,"Tití Me Preguntó","Bad Bunny",86,107,"reggaeton, trap latino, urbano latino","Latin","Un Verano Sin Ti",2022-05-06,04:03,65,72,10,0,19,20,10,-5,F Minor,4,2022-11-28,1IHWl5LamUGEuP4ozKQSXZ,"Rimas Entertainment LLC",4A,https://p.scdn.co/mp3-preview/53a6217761f8fdfcff92189cafbbd1cc21fdb813?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485149d694203245f241a1bcaa72
6,"CUFF IT","Beyoncé",85,115,"pop, r&b","Pop, R&B","RENAISSANCE",2022-07-29,03:45,78,69,4,0,64,10,0,-6,G Major,4,2022-09-24,1xzi1Jcr7mEi9K2RfzLOqS,"Parkwood Entertainment/Columbia",9B,https://p.scdn.co/mp3-preview/1799de9ff42644af9773b6353358e54615696f19?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510e58a0f8308c1ad403d105e7
7,"Running Up That Hill (A Deal With God) - 2018 Remaster","Kate Bush",14,108,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter","Pop, Rock, Folk/Acoustic","Hounds of Love (2018 Remaster)",1985-09-16,05:00,63,53,66,0,14,0,0,-12,A#/B♭ Minor,4,2022-06-24,29d0nY7TzCoi22XBqDQkiP,"Rhino",3A,,https://i.scdn.co/image/ab67616d000048515c390e413e27798edd4d18b4
8,"Glimpse of Us","Joji",84,170,"viral pop","Pop","Glimpse of Us",2022-06-10,03:53,44,32,89,0,27,0,10,-9,G#/A♭ Major,3,2022-06-19,6xGruZOHLs39ZbVccQTuPZ,"88rising Music/Warner Records",4B,https://p.scdn.co/mp3-preview/12e4a7ef3f1051424e6e282dfba83fe8448e122f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485108596cc28b9f5b00bfe08ae7
9,"abcdefu","GAYLE",80,122,"modern alternative pop","Pop","abcdefu",2021-08-13,02:48,70,54,30,0,42,0,30,-6,E Major,4,2022-01-16,4fouWK6XVHhzl78KzQ1UjL,"Atlantic/Arthouse Records",12B,https://p.scdn.co/mp3-preview/e13e3bf98cefdca448a1b31ee123a890be0e113c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512842f743ebd32235bceb43d3
10,"Bad Habit","Steve Lacy",83,169,"afrofuturism","R&B","Gemini Rights",2022-07-15,03:52,69,49,61,0,70,0,40,-7,C♯/D♭ Major,4,2022-07-23,4k6Uh1HXdhtusDW5y8Gbvy,"L-M Records/RCA Records",3B,https://p.scdn.co/mp3-preview/efe7c2fdd8fa727a108a1270b114ebedabfd766c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485168968350c2550e36d96344ee
