#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
11,"Happier","Marshmello,Bastille",87,100,"brostep, edm, pop, progressive electro house, metropopolis, modern rock","Electronic, Rock, Pop","Happier",2018-08-17,03:34,69,79,19,0,67,0,10,-3,F Major,4,2020-06-22,7BqHUALzNBTanL6OvsqmC1,"Joytime Collective",7B,https://p.scdn.co/mp3-preview/a23fe33122a12a302b97c443ab82473ce55df8fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dd0a40eecd4b13e4c59988da
12,"One Kiss (with Dua Lipa)","Calvin Harris,Dua Lipa",87,124,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance, uk pop","Pop, Electronic","One Kiss (with Dua Lipa)",2018-04-06,03:34,79,86,4,0,59,10,0,-3,A Minor,4,2020-06-22,7ef4DlsgrMEH11cDZd32M6,"Sony Music UK",8A,https://p.scdn.co/mp3-preview/0c09da1fe6f1da091c05057835e6be2312e2dc18?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d09f96d82310d4d77c14c108
13,"rockstar (feat. 21 Savage)","Post Malone,21 Savage",86,160,"dfw rap, melodic rap, pop, rap, atl hip hop, hip hop","Hip Hop, Pop","beerbongs & bentleys",2018-04-27,03:38,59,52,12,0,13,0,10,-6,F Minor,4,2020-06-22,0e7ipj03S05BNilyu5bRzt,"Republic Records",4A,,https://i.scdn.co/image/ab67616d00004851b1c4b76e23414c9f20242268
14,"LOVE. FEAT. ZACARI.","Kendrick Lamar,Zacari",86,126,"conscious hip hop, hip hop, rap, west coast rap, ","Hip Hop","DAMN.",2017-04-14,03:33,80,59,26,0,78,0,10,-7,A#/B♭ Major,4,2020-08-11,6PGoSes0D9eUDeeAafB2As,"Aftermath",6B,,https://i.scdn.co/image/ab67616d000048518b52c6b9bc4e43d873869699
15,"Moonlight","XXXTENTACION",85,128,"emo rap, miami hip hop, rap","Hip Hop","?",2018-03-16,02:15,92,54,56,0,71,0,10,-6,A Minor,4,2020-06-22,0JP9xo3adEtGSdUEISiszL,"Bad Vibes Forever, LLC",8A,,https://i.scdn.co/image/ab67616d00004851806c160566580d6335d1f16c
16,"I Like Me Better","Lauv",84,92,"pop","Pop","I met you when I was 18. (the playlist)",2018-05-31,03:17,75,51,53,0,42,20,10,-8,A Major,4,2020-06-22,0EcQcdcbQeVJn9fknj44Be,"Lauv",11B,https://p.scdn.co/mp3-preview/57bf51d254e2e01819ec8e013f4ed1c1fff8e50e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bdea30b86b37142ec99deb78
17,"Yes Indeed","Lil Baby,Drake",84,120,"atl hip hop, atl trap, rap, trap, canadian hip hop, canadian pop, hip hop, pop rap","Hip Hop, Pop","Harder Than Ever",2018-05-18,02:22,96,35,4,0,56,50,10,-9,F Minor,4,2020-06-22,6vN77lE9LK6HP2DewaN6HZ,"Quality Control Music, LLC",4A,,https://i.scdn.co/image/ab67616d000048516cab41f8c84d6164976400d4
18,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21,Manuel Turizo",84,170,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino","Pop, Latin","Ubuntu",2018-05-11,03:40,68,79,5,0,84,0,0,-4,C♯/D♭ Major,4,2020-06-22,1j6xOGusnyXq3l6IryKF3G,"WM Mexico",3B,https://p.scdn.co/mp3-preview/92140771060c2b7084d1d0ca98c1a225cae321cb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518cf2d98b8cee7a46488a3c25
19,"2002","Anne-Marie",83,96,"pop","Pop","Speak Your Mind (Deluxe)",2018-04-27,03:06,70,68,4,0,60,10,10,-3,C♯/D♭ Minor,4,2020-06-22,2BgEsaKNfHUdlh97KmvFyo,"Atlantic Records UK",12A,https://p.scdn.co/mp3-preview/d469ce8346ff12dcd2af05877d99662a0b334eca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485138aae75dc37fb42457866ffd
20,"SAD!","XXXTENTACION",84,75,"emo rap, miami hip hop, rap","Hip Hop","?",2018-03-16,02:46,74,61,26,0,47,10,10,-5,G#/A♭ Major,4,2020-06-22,3ee8Jmje8o58CHK66QrVC2,"Bad Vibes Forever, LLC",4B,,https://i.scdn.co/image/ab67616d00004851806c160566580d6335d1f16c
21,"Silence","Marshmello,Khalid",84,142,"brostep, edm, pop, progressive electro house, pop r&b","Electronic, Pop, R&B","Silence",2017-08-11,03:00,52,76,26,0,29,0,10,-3,E Major,4,2020-06-22,7vGuf3Y35N4wmASOKLUVVU,"Joytime Collective/RCA Records",12B,https://p.scdn.co/mp3-preview/26ea0841d3e1dd4eec371df3c79fbcc4a6aed42d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f33ba583059dc2f7d08bf2b8
22,"Better Now","Post Malone",83,145,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop","beerbongs & bentleys",2018-04-27,03:51,68,58,33,0,34,0,10,-6,A#/B♭ Major,4,2020-06-22,7dt6x5M1jzdTEt8oCbisTK,"Republic Records",6B,,https://i.scdn.co/image/ab67616d00004851b1c4b76e23414c9f20242268
23,"Let You Down","NF",83,148,"hip hop, pop rap","Hip Hop","Perception",2017-10-06,03:32,66,71,31,0,46,10,10,-6,F Minor,4,2020-06-22,52okn5MNA47tk87PeZJLEL,"NF Real Music",4A,,https://i.scdn.co/image/ab67616d00004851cd733919ee57d0cc466e152f
24,"The Middle","Zedd,Maren Morris,Grey",82,107,"complextro, edm, german techno, pop, pop dance, classic texas country, contemporary country, pop edm","Country, Electronic, Pop","The Middle",2018-01-23,03:04,75,66,17,0,44,0,10,-3,G Major,4,2020-06-22,09IStsImFySgyp0pIQdqAc,"UMGRI Interscope",9B,,https://i.scdn.co/image/ab67616d00004851fbe22d168a743b782a5e856a
25,"IDGAF","Dua Lipa",82,97,"dance pop, pop, uk pop","Pop","Dua Lipa (Deluxe)",2017-06-02,03:37,84,54,4,0,51,0,0,-6,G Major,4,2020-06-22,76cy1WJvNGJTj78UqeA5zr,"Warner Records",9B,https://p.scdn.co/mp3-preview/5338a987bfe51f8365bf43b899ecd8a83df83226?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851838698485511bd9108fadadc
26,"In My Mind","Dynoro,Gigi D'Agostino",82,126,"edm, eurodance, italo dance","Electronic, Pop","In My Mind",2018-06-08,03:04,69,77,18,0,16,10,10,-5,F#/G♭ Major,4,2020-06-22,0E9ZjEAyAwOXZ7wJC0PD33,"Columbia/B1 Recordings",2B,https://p.scdn.co/mp3-preview/4de512355f4b332fcf079a74592025ff168813ff?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485128a8a05c3a7ba952c7615ab9
27,"Nonstop","Drake",82,155,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop","Scorpion",2018-06-29,03:58,91,41,2,1,42,10,10,-8,G Major,4,2020-06-22,0TlLq3lA83rQOYtrqBqSct,"Cash Money/Drake LP6",9B,,https://i.scdn.co/image/ab67616d00004851f907de96b9a4fbc04accc0d5
28,"Body","Loud Luxury,Brando",81,122,"edm, pop dance, dance pop","Pop, Electronic","Body",2017-10-27,02:43,75,76,5,0,58,0,0,-4,C♯/D♭ Major,4,2020-06-22,21RzyxY3EFaxVy6K4RqaU9,"Armada Music",3B,https://p.scdn.co/mp3-preview/500f32c94358533f3736af033498350a9636e701?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af5e185b80d374b0c6beb10f
29,"Him & I (with Halsey)","G-Eazy,Halsey",81,88,"indie pop rap, oakland hip hop, pop rap, rap, electropop, etherpop, indie poptimism, pop","Pop, Hip Hop","The Beautiful & Damned",2017-12-15,04:28,59,73,5,0,19,0,30,-6,D Major,4,2020-06-22,5k38wzpLb15YgncyWdTZE4,"BPG/RVG/RCA Records",10B,https://p.scdn.co/mp3-preview/f3b074fff3b73dfec619cf9a3ff72be8d6de2cb6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851046527a9c176f7c2916f3530
30,"Wolves","Selena Gomez,Marshmello",81,125,"pop, post-teen pop, brostep, edm, progressive electro house","Electronic, Pop","Wolves",2017-10-25,03:17,72,80,12,0,31,0,20,-5,B Minor,4,2020-06-22,0tBbt8CrmxbjRP0pueQkyU,"Selena Gomez PS",10A,,https://i.scdn.co/image/ab67616d00004851307910d4242c0d6b1fedf955
31,"Mo Bamba","Sheck Wes",81,146,"pop rap, rap, trap","Hip Hop","MUDBOY",2018-10-05,03:03,73,63,19,1,26,0,20,-5,E Major,4,2020-08-11,1xzBco0xcoJEDXktl7Jxrr,"Cactus Jack Records/ G.O.O.D. Music/ Interscope Records",12B,,https://i.scdn.co/image/ab67616d0000485159cd47039c5b10ed919fbaa8
32,"Be Alright","Dean Lewis",81,127,"australian pop, pop","Pop","Be Alright",2018-06-29,03:16,55,59,70,0,44,0,0,-6,B Major,4,2020-06-22,3EPXxR3ImUwfayaurPi3cm,"Universal Music Australia Pty. Ltd.",1B,,https://i.scdn.co/image/ab67616d0000485113480e8127119dcb882eb53d
33,"no tears left to cry","Ariana Grande",81,122,"pop","Pop","Sweetener",2018-08-17,03:25,70,71,4,0,35,0,20,-6,A Minor,4,2020-06-22,2qT1uLXPVPzGgFOx4jtEuo,"Republic Records",8A,,https://i.scdn.co/image/ab67616d00004851c3af0c2355c24ed7023cd394
34,"FRIENDS","Marshmello,Anne-Marie",80,95,"brostep, edm, pop, progressive electro house","Electronic, Pop","FRIENDS",2018-02-09,03:22,63,88,21,0,53,0,10,-2,A Minor,4,2020-06-22,08bNPGLD8AhKpnnERrAc6G,"Atlantic Records UK",8A,https://p.scdn.co/mp3-preview/6245dd62009fbbe6c5479d10d5470024553d60d0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851569f64493ca55cd96fdee412
35,"Nevermind","Dennis Lloyd",80,100,"israeli pop","Pop","Nevermind",2017-06-30,02:36,60,69,16,0,8,20,40,-8,F Minor,4,2020-06-22,63SevszngYpZOwf63o61K4,"WM Italy",4A,https://p.scdn.co/mp3-preview/53dfd244b22ffa132a91d7b224885f44c2a776ee?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514dbdd4d3c69bec0d471fc479
36,"I Like It","Cardi B,Bad Bunny,J Balvin",80,136,"pop, rap, reggaeton, trap latino, urbano latino, reggaeton colombiano","Pop, Hip Hop, Latin","Invasion of Privacy",2018-04-06,04:13,82,73,10,0,65,10,30,-4,F Minor,4,2020-06-22,58q2HKrzhC3ozto2nDdN4z,"Atlantic/KSR",4A,https://p.scdn.co/mp3-preview/0fe3542d88da43dd131627df756ac1ce318713fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a0caffda54afd0a65995bbab
37,"Nice For What","Drake",82,93,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop","Scorpion",2018-06-29,03:30,59,91,9,0,76,0,10,-6,G#/A♭ Major,4,2020-06-22,3CA9pLiwRIGtUBiMjbZmRw,"Cash Money/Drake LP6",4B,,https://i.scdn.co/image/ab67616d00004851f907de96b9a4fbc04accc0d5
38,"changes","XXXTENTACION",80,65,"emo rap, miami hip hop, rap","Hip Hop","?",2018-03-16,02:01,67,31,88,0,52,0,10,-10,B Major,4,2020-06-22,7AFASza1mXqntmGtbxXprO,"Bad Vibes Forever, LLC",1B,,https://i.scdn.co/image/ab67616d00004851806c160566580d6335d1f16c
39,"Self Care","Mac Miller",80,142,"hip hop, pittsburgh rap, rap","Hip Hop","Swimming",2018-08-03,05:45,52,54,37,0,18,20,10,-8,C♯/D♭ Major,4,2023-07-27,5bJ1DrEM4hNCafcDd1oxHx,"Warner Records",3B,https://p.scdn.co/mp3-preview/27213e78b82c3bb6ca91eb40cd6146e883827b2b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851175c577a61aa13d4fb4b6534
40,"Psycho (feat. Ty Dolla $ign)","Post Malone,Ty Dolla $ign",79,140,"dfw rap, melodic rap, pop, rap, hip hop, pop rap, r&b, southern hip hop, trap, trap soul","Hip Hop, Pop, R&B","beerbongs & bentleys",2018-04-27,03:41,75,56,55,0,46,10,10,-8,G#/A♭ Major,4,2020-06-22,3swc6WTsr7rl9DqQKQA55C,"Republic Records",4B,,https://i.scdn.co/image/ab67616d00004851b1c4b76e23414c9f20242268
41,"Shotgun","George Ezra",79,116,"folk-pop, neo-singer-songwriter","Pop","Staying at Tamara's",2018-03-23,03:21,67,74,29,0,75,0,20,-5,F Major,4,2020-06-22,4ofwffwvvnbSkrMSCKQDaC,"Columbia",7B,https://p.scdn.co/mp3-preview/3d87ba7cbe8d7c7499cf86e46f7665b2b63639fe?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851103045cd1c29dd16a469f808
42,"God is a woman","Ariana Grande",80,145,"pop","Pop","Sweetener",2018-08-17,03:17,60,66,2,0,27,0,20,-6,C♯/D♭ Major,4,2020-06-22,5OCJzvD7sykQEKHH7qAC3C,"Republic Records",3B,,https://i.scdn.co/image/ab67616d00004851c3af0c2355c24ed7023cd394
43,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld,Alesso,Florida Georgia Line,WATT",78,103,"pop, dance pop, edm, pop dance, contemporary country, country, country pop, country road, modern country rock, modern alternative rock","Country, Pop, Electronic, Rock","Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-09-08,02:54,66,71,3,0,74,0,0,-4,G#/A♭ Major,4,2020-06-22,5Gu0PDLN4YJeW75PpBSg9p,"Universal Records",4B,,https://i.scdn.co/image/ab67616d00004851523eb48df1fa22b6d450833e
44,"Finesse - Remix; feat. Cardi B","Bruno Mars,Cardi B",78,105,"dance pop, pop, rap","Pop, Hip Hop","Finesse (Remix) [feat. Cardi B]",2017-12-20,03:37,70,86,2,0,93,10,0,-5,F Minor,4,2020-06-22,3Vo4wInECJQuz9BIBMOu8i,"Atlantic Records",4A,https://p.scdn.co/mp3-preview/142595a5594e3ffec7c8a4ccd13bd1cb96fd9769?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485147e522adf030a78615cdea06
45,"Stir Fry","Migos",78,182,"atl hip hop, hip hop, pop rap, rap, trap","Hip Hop","Culture II",2018-01-26,03:10,82,82,0,0,51,20,10,-5,D Major,4,2020-06-22,2UVbBKQOdFAekPTRsnkzcf,"Quality Control Music, LLC",10B,,https://i.scdn.co/image/ab67616d000048519c188c494d8bfaf895411890
46,"In My Feelings","Drake",78,91,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop","Scorpion",2018-06-29,03:37,84,63,6,0,35,10,40,-6,C♯/D♭ Major,4,2020-06-22,2G7V7zsVDxg1yRsu7Ew9RJ,"Cash Money/Drake LP6",3B,,https://i.scdn.co/image/ab67616d00004851f907de96b9a4fbc04accc0d5
47,"Vaina Loca","Ozuna,Manuel Turizo",78,94,"puerto rican pop, reggaeton, trap latino, urbano latino, colombian pop, latin pop, reggaeton colombiano","Pop, Latin","Aura",2018-08-24,02:56,75,81,32,0,56,0,20,-4,F#/G♭ Major,4,2020-06-22,48zFZh27QU5qsrBjn4C2FA,"VP Records Corp/Dimelo Vi",2B,https://p.scdn.co/mp3-preview/b77ccefadded2389e2aa09aeb99a82973430fa0a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485166ab16a0f75d517304f18efd
48,"Te Boté - Remix","Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam",77,97,"reggaeton, trap latino, urbano latino, reggaeton flow, latin hip hop, puerto rican pop","Hip Hop, Pop, Latin","Te Boté (Remix)",2018-04-13,06:57,90,68,54,0,44,20,0,-3,B Minor,4,2020-06-22,3V8UKqhEK5zBkBb6d6ub8i,"Flow La Movie, Inc.",10A,https://p.scdn.co/mp3-preview/77974faf4e6baee7f084e78680860df4a96559f5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a5779a2f04a513fac2fd1d15
49,"Mine","Bazzi",77,143,"pop","Pop","COSMIC",2018-04-12,02:11,71,79,2,0,72,0,40,-4,E Major,4,2020-06-22,7uzmGiiJyRfuViKKK3lVmR,"iamcosmic",12B,https://p.scdn.co/mp3-preview/c0a7b6ae1f9e5af8169b6aa870bf05c41933c8da?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f9f2d43ff44bdfbe8c556f8d
50,"Bad At Love","Halsey",77,118,"electropop, etherpop, indie poptimism, pop","Pop","hopeless fountain kingdom (Deluxe)",2017-06-02,03:01,68,75,6,0,61,0,0,-4,C Major,4,2020-06-22,7y9iMe8SOB6z3NoHE2OfXl,"Astralwerks (ASW)",8B,,https://i.scdn.co/image/ab67616d000048510f7ad6d8d829906c17cae210
51,"Eastside (with Halsey & Khalid)","benny blanco,Halsey,Khalid",77,89,"pop, electropop, etherpop, indie poptimism, pop r&b","Pop, R&B","Eastside (with Halsey & Khalid)",2018-07-12,02:53,56,68,56,0,32,30,10,-8,F#/G♭ Minor,4,2020-06-22,0d2iYfpKoM0QCKvcLCkBao,"Benny Blanco Solo Album PS",11A,,https://i.scdn.co/image/ab67616d000048513154f0bdf9a17385d7afc6ba
52,"Love Lies (with Normani)","Khalid,Normani",77,144,"pop, pop r&b, r&b","Pop, R&B","Love Lies (with Normani)",2018-02-14,03:21,71,65,10,0,34,0,10,-6,F#/G♭ Major,4,2020-06-22,45Egmo7icyopuzJN0oMEdk,"RCA Records Label",2B,https://p.scdn.co/mp3-preview/aa4f4d0898af5fc2f40c3c3dd1c1a0ece80df384?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dd7eaf261543814a6d715d67
53,"Walk It Talk It","Migos,Drake",78,146,"atl hip hop, hip hop, pop rap, rap, trap, canadian hip hop, canadian pop","Hip Hop, Pop","Culture II",2018-01-26,04:36,91,63,9,0,40,10,10,-5,D Major,4,2020-06-22,6n4U3TlzUGhdSFbUUhTvLP,"Quality Control Music, LLC",10B,,https://i.scdn.co/image/ab67616d000048519c188c494d8bfaf895411890
54,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake,Selena Gomez,Ozuna,Cardi B",77,96,"dance pop, edm, electronic trap, pop, pop dance, post-teen pop, puerto rican pop, reggaeton, trap latino, urbano latino, rap","Pop, Electronic, Hip Hop, Latin","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,03:32,84,80,16,0,62,20,0,-4,G#/A♭ Minor,4,2020-06-22,4w8niZpiMy6qz1mntFA5uM,"DJ Snake Music Productions Limited, under exclusive license to Geffen Records",1A,,https://i.scdn.co/image/ab67616d00004851e105c410a7b390c61a58cbf8
55,"Rewrite The Stars","Zac Efron,Zendaya",77,125,"hollywood, movie tunes, post-teen pop, pop","Easy listening, Pop","Rewrite The Stars",2017-11-17,03:37,68,62,7,0,28,0,10,-7,A#/B♭ Major,4,2020-06-22,630sXRhIcfwr2e4RdNtjKN,"Atlantic Records",6B,https://p.scdn.co/mp3-preview/b59e1bd5efc1916ce39ce03f67dbbeb15ef62fc0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d44e723b677380dfbc899bcd
56,"How Long","Charlie Puth",77,110,"pop, viral pop","Pop","Voicenotes",2018-05-11,03:20,85,56,21,0,81,0,0,-5,C♯/D♭ Minor,4,2020-06-22,6wmAHw1szh5RCKSRjiXhPe,"Artist Partner",12A,https://p.scdn.co/mp3-preview/f7c09279fe91c88bb8a55062fbf368ec1087aeba?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851897f73256b9128a9d70eaf66
57,"In My Blood","Shawn Mendes",76,140,"canadian pop, pop, viral pop","Pop","Shawn Mendes",2018-05-25,03:31,62,71,6,0,49,0,10,-7,F Major,4,2020-06-22,2QZ7WLBE8h2y1Y5Fb8RYbH,"Island Records",7B,,https://i.scdn.co/image/ab67616d00004851269423eb6467e308c0fbce24
58,"Trip","Ella Mai",76,80,"r&b, rap, uk contemporary r&b","R&B, Hip Hop","Ella Mai",2018-10-12,03:33,48,61,23,0,36,10,10,-6,B Minor,4,2020-06-22,6CTWathupIiDs7U4InHnDA,"10 Summers / Interscope PS",10A,,https://i.scdn.co/image/ab67616d000048517ce0faf0620ab9c1779e1fbf
59,"X","Nicky Jam,J Balvin",76,180,"latin hip hop, reggaeton, trap latino, urbano latino, reggaeton colombiano","Hip Hop, Latin","Intimo",2019-11-01,02:52,59,75,3,0,69,0,30,-5,A Minor,4,2020-06-22,5YUyW9opqNsMSEzzecZih1,"Sony Music Latin",8A,https://p.scdn.co/mp3-preview/6745d4cf983eef46735f94db5a3336010546254b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072a21c666bf2f7b3fababef
60,"River (feat. Ed Sheeran)","Eminem,Ed Sheeran",76,90,"detroit hip hop, hip hop, rap, pop, singer-songwriter pop, uk pop","Hip Hop, Pop","Revival",2017-12-15,03:41,75,75,14,0,66,50,0,-6,G#/A♭ Minor,4,2020-06-22,1cS0TgbR263ey9jn0MwD2s,"Aftermath",1A,,https://i.scdn.co/image/ab67616d00004851dee6b58d35215322626b5701
61,"Never Be the Same","Camila Cabello",75,130,"dance pop, pop","Pop","Camila",2018-01-12,03:46,64,71,18,0,24,0,10,-4,C Major,4,2020-06-22,4eWQlBRaTjPPUlzacqEeoQ,"Syco Music/Epic",8B,https://p.scdn.co/mp3-preview/24f20244e3ebd6ef0242cf3b3ec21b112c3c06f2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516eb0b9e73adcf04e4ed3eca4
62,"You Make It Easy","Jason Aldean",75,132,"contemporary country, country, country road, modern country rock","Country, Rock","Rearview Town",2018-04-13,03:13,54,57,16,0,51,0,10,-5,G Major,3,2020-06-22,2TXtN9MoV308Y0z1HvyTfV,"Broken Bow Records",9B,https://p.scdn.co/mp3-preview/792310fb793bf0821bd23c10614b918872c961e4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485174ac8d740530487e3bd50378
63,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha,Florida Georgia Line",75,154,"dance pop, pop, contemporary country, country, country pop, country road, modern country rock","Country, Pop, Rock","All Your Fault: Pt. 2",2017-08-11,02:43,64,78,5,0,58,0,0,-6,A#/B♭ Major,4,2020-06-22,7iDa6hUg2VgEL1o1HjmfBn,"Warner Records",6B,https://p.scdn.co/mp3-preview/fa4d66e50c72c03ced38f802adf41e44cad2c2e4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511ba5682505dd6e2592b16e41
