#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"lovely (with Khalid)","Billie Eilish,Khalid",91,115,"art pop, pop, pop r&b","Pop, R&B","lovely (with Khalid)",2018-04-19,03:20,35,30,93,0,12,0,10,-10,E Minor,4,2020-06-22,0u2P5u6lvoDfwTYjAADbn4,"Darkroom",9A,,https://i.scdn.co/image/ab67616d000048518a3f0a3ca7929dea23cd274c
2,"we fell in love in october","girl in red",89,130,"bedroom pop, indie pop, norwegian indie, pov: indie","Pop, Electronic","we fell in love in october / October Passed Me By",2018-11-21,03:04,57,37,11,18,24,0,10,-13,G Major,4,2021-03-03,6IPwKM3fUUzlElbvKw2sKl,"world in red",9B,https://p.scdn.co/mp3-preview/0415195377d9574c4f552372019421311a34ce55?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d6839051c4760457e1a60b2a
3,"Natural","Imagine Dragons",84,100,"modern rock, pop, rock","Rock, Pop","Origins (Deluxe)",2018-11-09,03:09,70,61,22,0,22,0,0,-6,D Major,4,2020-06-22,2FY7b99s15jUprqC0M5NCT,"Kid Ina Korner / Interscope",10B,,https://i.scdn.co/image/ab67616d00004851da6f73a25f4c79d0e6b4a8bd
4,"Call Out My Name","The Weeknd",88,134,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","My Dear Melancholy,",2018-03-30,03:48,46,59,17,0,18,0,30,-5,C♯/D♭ Major,3,2020-06-22,09mEdoA6zrmBPgTEN5qXmN,"Universal Republic Records",3B,,https://i.scdn.co/image/ab67616d000048511f6a2a40bb692936879db730
5,"SICKO MODE","Travis Scott",87,155,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,05:12,83,73,1,0,45,20,10,-4,G#/A♭ Major,4,2020-06-22,2xLMifQCjDGFmkHkpNLD9h,"Cactus Jack / Epic",4B,https://p.scdn.co/mp3-preview/8229545ded5cacf393f62b17af653dfc8171fc85?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
6,"All The Stars (with SZA)","Kendrick Lamar,SZA",87,97,"conscious hip hop, hip hop, rap, west coast rap, pop, r&b","Hip Hop, Pop, R&B","Black Panther The Album Music From And Inspired By",2018-02-09,03:52,70,63,6,0,55,0,0,-5,G#/A♭ Major,4,2020-06-22,3GCdLUSnKSMJhs4Tj6CV3s,"Black Panther (TDE/DMG) PS",4B,,https://i.scdn.co/image/ab67616d00004851c027ad28821777b00dcaa888
7,"God's Plan","Drake",87,77,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop","Scorpion",2018-06-29,03:18,75,45,3,0,36,10,50,-9,G Major,4,2020-06-22,6DCZcSspjsKoFjzjrWoCdn,"Cash Money/Drake LP6",9B,,https://i.scdn.co/image/ab67616d00004851f907de96b9a4fbc04accc0d5
8,"Delicate","Taylor Swift",87,95,"pop","Pop","reputation",2017-11-10,03:52,75,40,22,0,5,0,0,-10,A Minor,4,2020-06-22,6NFyWDv5CjfwuzoCkw47Xf,"Big Machine Records, LLC",8A,,https://i.scdn.co/image/ab67616d00004851da5d5aeeabacacc1263c0f4b
9,"Lucid Dreams","Juice WRLD",87,84,"chicago rap, melodic rap, rap","Hip Hop","Goodbye & Good Riddance",2018-12-10,03:59,51,57,35,0,22,20,30,-7,F#/G♭ Minor,4,2020-06-22,285pBltuF7vW8TeWk8hdRR,"Juice WRLD Mixtape / ISR P&D",11A,,https://i.scdn.co/image/ab67616d00004851f7db43292a6a99b21b51d5b4
10,"Ric Flair Drip (with Metro Boomin)","Offset,Metro Boomin",87,100,"atl hip hop, hip hop, pop rap, rap, trap","Hip Hop","Without Warning",2017-10-30,02:52,88,43,15,0,33,20,10,-8,A Major,4,2020-06-22,7sO5G9EABYOXQKNPNiE9NR,"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",11B,https://p.scdn.co/mp3-preview/89cee86b4663ac093731d7a433491dd71e286f61?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510db43130a9aaa7bae56967ed
