#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
57,"Ace of Spades","Motörhead",50,140,"alternative metal, hard rock, metal, rock, speed metal","Metal, Rock","Ace of Spades (Expanded Edition)",1980-11-08,02:46,34,91,0,0,55,0,0,-8,E Major,4,2021-03-10,6EPRKhUOdiFSQwGBRBbvsZ,"Sanctuary Records",12B,,https://i.scdn.co/image/ab67616d000048512051e219a4af7648223953c1
58,"Mouth for War","Pantera",64,157,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal","Metal, Rock","Vulgar Display of Power",1992-02-21,03:57,33,95,0,0,63,0,0,-7,G#/A♭ Minor,4,2021-03-10,6rkeaQRCWZxwkjhyqgxjXi,"Atlantic Records",1A,https://p.scdn.co/mp3-preview/9c76f1014352a654fff5bfe49b63485ae805ae05?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851347c0a40c1e3f0c890a6d9d6
59,"Electric Eye","Judas Priest",63,97,"album rock, alternative metal, birmingham metal, glam metal, hard rock, metal, rock","Rock, Metal","Screaming For Vengeance (Expanded Edition)",1982-00-00,03:42,44,95,0,0,36,0,10,-6,E Minor,4,2021-03-10,3w9zHVKI28aUPZTxq8oDC6,"Sony Music UK",9A,https://p.scdn.co/mp3-preview/4e8ae32b294e1fb992021387d5a067f95d5ce050?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851475bd4fb40ba687fbf002c82
60,"Killing In The Name","Rage Against The Machine",82,89,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock","Metal, Rock, Hip Hop","Rage Against The Machine - XX (20th Anniversary Special Edition)",1992-00-00,05:13,47,83,3,0,66,30,0,-4,G Major,4,2021-03-10,59WN2psjkt1tyaxjspN8fp,"Epic/Legacy",9B,https://p.scdn.co/mp3-preview/998d3604b68754c11bc0a9af64291ac1f91fb0d8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485154ab617bc2d4974ab6ffbece
61,"Anatolia - Version 1","Pentagram",0,115,"oriental metal, turkish alternative, turkish metal, turkish rock","Metal, Pop, Rock","Anatolia",1997-05-27,04:10,60,68,1,0,20,0,30,-7,D Major,5,2021-03-10,4tS6lejXprr2DxhRrfGuSI,"SONER MÜZİK",10B,,https://i.scdn.co/image/ab67616d00004851fa972db10d46ab70c629b04e
62,"You Can't Bring Me Down","Suicidal Tendencies",57,137,"alternative metal, california hardcore, crossover thrash, funk metal, hard rock, hardcore punk, metal, nu metal, old school thrash, punk, thrash metal","Metal, Rock","Lights...Camera...Revolution",1990-07-02,05:48,27,96,0,0,4,30,0,-11,C Major,4,2022-12-30,203xxdlledLFnkqrUleD72,"Epic",8B,https://p.scdn.co/mp3-preview/51d4983a7d14f986206aa07292d63af581ff1a1e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d1886d236549fdbf0309b5ab
63,"Fucking Hostile - 2012 Remaster","Pantera",59,94,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal","Metal, Rock","Vulgar Display of Power (Expanded)",1992-00-00,02:48,52,99,0,0,53,10,20,-5,A Major,4,2022-12-30,0GY3AhUEO5T1Q5LMEIE1vL,"Rhino Atlantic",11B,https://p.scdn.co/mp3-preview/556a8f8670668acae34c2d14b8d104e0827718cd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b3813e9e23cc6c2ba649fc05
64,"Symbolic","Death",56,114,"death metal, dissonant death metal, florida death metal, groove metal, hard rock, metal, speed metal, technical death metal","Metal, Rock","Symbolic (Remastered Version)",1995-03-19,06:32,36,98,0,1,13,20,10,-7,F#/G♭ Minor,4,2022-12-30,0dpFb4qv92TE9R00Lq4SAW,"Roadrunner Records",11A,https://p.scdn.co/mp3-preview/dbecc941c0c8f546aa0a9818f618f09a85394ba3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851014e93e47bf1dc746cab4930
65,"World Painted Blood","Slayer",54,93,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","World Painted Blood",2009-01-01,05:53,48,99,0,15,13,10,0,-3,A#/B♭ Minor,4,2022-12-30,4WFYHBYhFA6tmCRYKng2MB,"American Recordings Catalog P&D",3A,,https://i.scdn.co/image/ab67616d000048518fb2a8a2fd5f4f1de96f1382
66,"Souls of Black","Testament",52,129,"alternative metal, groove metal, hard rock, metal, old school thrash, thrash metal","Metal, Rock","Souls of Black",1990-09-18,03:22,40,89,0,21,52,0,0,-11,B Major,4,2022-12-30,5zAN2OQJsmcBVG1oO5QroD,"Megaforce/Atlantic",1B,https://p.scdn.co/mp3-preview/8c492e2190c408cee88130bce7eaedfd7a130112?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8308e302b9662354bda885b
67,"Valhalla - Remastered 2017","Blind Guardian",0,159,"fantasy metal, german metal, german power metal, metal, power metal, speed metal, symphonic metal","Metal","Follow the Blind (Remastered 2017)",1989-10-24,04:57,19,99,0,0,9,10,30,-6,C♯/D♭ Minor,4,2021-03-10,1RlYT3783gHDe9FFbA4WzS,"Nuclear Blast",12A,,https://i.scdn.co/image/ab67616d00004851527478a099a4faf2417c9d3c
68,"Make Me Wanna Die","The Pretty Reckless",58,97,"alternative metal, candy pop","Metal, Pop","Light Me Up",2010-01-01,03:55,50,91,0,0,22,0,10,-4,G#/A♭ Major,4,2021-03-10,2opyAm6zOyjR0An5LkblfN,"DAS Label / Interscope Records",4B,,https://i.scdn.co/image/ab67616d00004851ded3790fc374ac8c641c27df
69,"Mother","Danzig",75,148,"alternative metal, groove metal, grunge, hard rock, metal, nu metal, punk","Metal, Rock","Danzig",1988-01-01,03:24,37,76,1,0,34,0,0,-9,B Minor,4,2022-12-30,7txxAtOMwLLnQTpKeBL6bp,"American Recordings Catalog P&D",10A,,https://i.scdn.co/image/ab67616d00004851bc8d8db760af7b9d0c91747f
70,"Bodies","Drowning Pool",79,131,"alternative metal, nu metal, post-grunge, rap metal","Metal","Sinner",2001-01-01,03:21,66,93,0,0,54,0,10,-3,E Minor,4,2021-05-10,7CpbhqKUedOIrcvc94p60Y,"The Bicycle Music Company",9A,,https://i.scdn.co/image/ab67616d0000485126d45b50f2016fed43d54320
71,"Holy Mountains","System Of A Down",62,151,"alternative metal, nu metal, rap metal, rock","Metal, Rock","Hypnotize",2005-11-22,05:28,25,90,0,0,23,0,10,-2,C♯/D♭ Major,4,2023-04-24,4mj2UMyJTBTaO7pffAK29j,"American/Columbia",3B,https://p.scdn.co/mp3-preview/7f7268fd45adecdc44b0418c20668a7c8de8aa61?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f5e7b2e5adaa87430a3eccff
