#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
89,"Rumors (feat. Cardi B)","Lizzo,Cardi B",67,119,"escape room, minnesota hip hop, pop, trap queen, rap","Pop, Hip Hop, R&B","Rumors (feat. Cardi B)",2021-08-13,02:52,83,73,13,0,61,0,40,-6,E Minor,4,2021-09-20,6KgtcmCF9Ky68XC7ezxl3s,"Nice Life/Atlantic",9A,https://p.scdn.co/mp3-preview/7a140673a244a9ba22b913426db6a85e688fe106?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851324290e5b99a797b99e247bb
90,"Skate","Bruno Mars,Anderson .Paak,Silk Sonic",1,112,"dance pop, pop, escape room, hip hop, indie soul, neo soul","Pop, Hip Hop, R&B","Skate",2021-07-30,03:23,71,60,4,0,70,0,10,-8,F Major,4,2021-09-20,2sXf2JdbB2GlNju00kw9WE,"Aftermath Entertainment/Atlantic",7B,,https://i.scdn.co/image/ab67616d000048516adcabaab172f5b8a3f085cb
91,"t r a n s p a r e n t s o u l feat. Travis Barker","WILLOW,Travis Barker",64,90,"afrofuturism, pop, post-teen pop, pov: indie, rap rock","R&B, Pop, Rock","t r a n s p a r e n t s o u l feat. Travis Barker",2021-04-27,02:48,39,83,0,0,19,0,10,-5,B Minor,4,2021-09-20,1QL7nSDZCwZMnbisV4KOXt,"MSFTSMusic / Roc Nation Records, LLC",10A,,https://i.scdn.co/image/ab67616d00004851e76af696460a8b3aa26bf623
92,"Cold Heart - PNAU Remix","Elton John,Dua Lipa,PNAU",86,116,"glam rock, mellow gold, piano rock, rock, dance pop, pop, uk pop, alternative dance, aussietronica, australian dance, australian electropop","Rock, Electronic, Pop","Cold Heart (PNAU Remix)",2021-08-13,03:22,80,80,3,0,94,0,10,-6,C♯/D♭ Major,4,2021-09-20,6zSpb8dQRaw0M1dK8PBwQz,"EMI",3B,,https://i.scdn.co/image/ab67616d000048519f5cce8304c42d3a5463fd23
93,"Leave Before You Love Me (with Jonas Brothers)","Marshmello,Jonas Brothers",85,120,"brostep, edm, pop, progressive electro house, boy band","Pop, Electronic","Leave Before You Love Me",2021-05-21,02:34,72,74,0,0,64,0,10,-5,G Major,4,2021-12-03,4qu63nuBpdn0qHUHuObEj1,"Republic Records",9B,,https://i.scdn.co/image/ab67616d00004851ae40468931087f78919b86ce
94,"Girl From Rio","Anitta",60,140,"funk pop, funk rj, pagode baiano, pop, pop nacional","Pop, Latin","Girl From Rio",2021-04-29,03:14,69,64,1,0,73,0,20,-7,C Major,4,2021-12-03,2plRom0urixt6BE8t7kOhQ,"Warner Records",8B,https://p.scdn.co/mp3-preview/6e492a45871c4fcc1af108460d5180a6caa9f13c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510d847ff5620fa92330eac52a
95,"Arcade (feat. FLETCHER)","Duncan Laurence,FLETCHER",68,72,"dutch pop, alt z, pop","Pop","Small Town Boy",2020-11-27,03:07,45,40,82,0,27,0,10,-9,C Major,3,2021-12-03,4Ld4kbKo1eOzToQ0P8JA0V,"Universal Music, a division of Universal International Music BV",8B,,https://i.scdn.co/image/ab67616d000048511b55c3257d316d184d641800
96,"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes,Tainy",75,124,"canadian pop, pop, viral pop, pop reggaeton, reggaeton, trap latino, urbano latino","Pop, Latin","Summer Of Love",2021-08-20,03:04,78,81,3,0,49,10,10,-5,B Major,4,2022-05-15,0z8hI3OPS8ADPWtoCjjLl6,"Shawn Mendes LP4-5 PS/ Island",1B,,https://i.scdn.co/image/ab67616d00004851a111c87c210cc9bff93948bd
97,"Meet Me At Our Spot","THE ANXIETY,WILLOW,Tyler Cole",78,95,"modern alternative pop, afrofuturism, pop, post-teen pop, pov: indie, bedroom soul","R&B, Pop","THE ANXIETY",2020-03-13,02:42,77,47,2,0,40,0,0,-8,D Major,4,2022-05-15,07MDkzWARZaLEdKxo6yArG,"MSFTSMusic / Roc Nation Records, LLC",10B,,https://i.scdn.co/image/ab67616d00004851024ea7e883a713a3ad552a71
98,"Life Goes On","Oliver Tree",76,80,"alternative hip hop","Hip Hop","Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",2021-05-28,02:41,70,49,19,0,57,0,10,-5,C Major,4,2022-05-15,0eu4C55hL6x29mmeAjytzC,"Atlantic Records",8B,https://p.scdn.co/mp3-preview/c04accf431dc01e6c87181f80d4c2d50d055bf47?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511c5a484110522f2b9c7038cc
99,"Dick (feat. Doja Cat)","StarBoi3,Doja Cat",70,126,"viral rap, dance pop, pop","Pop, Hip Hop","Dick (feat. Doja Cat)",2021-04-23,02:55,65,61,13,0,47,40,0,-7,A Major,4,2022-05-15,3nY8AqaMNNHHLYV4380ol0,"Not specified",11B,https://p.scdn.co/mp3-preview/d51ca6cf577f18d6edb0be3df94f37cb0c4612f8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515963b0bbab0ab999fbbeb08b
100,"Praise God","Kanye West",78,118,"chicago rap, hip hop, rap","Hip Hop","Donda",2021-08-29,03:46,80,55,1,0,21,10,20,-6,C♯/D♭ Major,4,2022-05-15,0WSEq9Ko4kFPt8yo3ICd6T,"Rock The World/IDJ/Kanye LP7",3B,,https://i.scdn.co/image/ab67616d00004851cad190f1a73c024e5a40dddd
