#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview,
22,BS,Still Woozy,59,80,"bedroom pop, oakland indie, pov: indie","Pop, Rock",BS,9/10/2020,2:13,62,46,50,0,53,0,10,-12,D#/E♭ Major,3,3/28/2021,1qxZswAdBvM0JMUoV83J1b,"Still Woozy Productions Inc., under exclusive license to Interscope Records",5B,,https://i.scdn.co/image/ab67616d00004851ea3e63aad8c2dad14b08abeb,
23,Maud Gone,Car Seat Headrest,49,105,"furry, indie rock, pov: indie","Pop, Rock",Teens of Style,10/30/2015,5:58,53,36,3,0,21,0,10,-7,F Major,4,9/28/2021,53eMEHD5vu4kRB458TCuiM,Matador,7B,https://p.scdn.co/mp3-preview/8ec5d37f34e76bc920f62699e08418812e23719f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cc95307a40727813f0ca8752,
24,Savior Complex,Phoebe Bridgers,0,129,"indie pop, la indie, pov: indie",Pop,Punisher,6/18/2020,4:01,37,44,93,2,22,0,10,-12,E Major,3,3/28/2021,4BNew3AqFCvABdFsYMRiyB,Dead Oceans,12B,,https://i.scdn.co/image/ab67616d000048513040ca980277cf1445934add,
25,1,XI,21,160,,,1,11/3/2020,2:40,49,60,34,45,58,0,10,-12,F Minor,4,3/28/2021,3KYGLiHA4qBzPZSFECJaxd,XI,4A,https://p.scdn.co/mp3-preview/b2ae398a00a67f59d9c60c01444716954f50ce9a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851acb1c93fcb6d9c8337ee7aa8,
26,i was all over her,salvia palth,85,105,"countrygaze, lo-fi emo, lo-fi indie, pov: indie, slowcore, small room","Folk/Acoustic, Rock, Pop",melanchole,1/1/2013,2:41,53,35,79,85,6,0,10,-13,G Major,4,3/28/2021,7svpAkwc6xaSxlbZ7V7JiS,black wooden,9B,https://p.scdn.co/mp3-preview/03a0eecce4c4b1ad1c045961b2cc097ee8b76e7a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485175398280edcb0278b4516c48,
27,Lovers Rock,TV Girl,6,105,pov: indie,Pop,French Exit,6/5/2014,3:33,56,87,0,1,57,0,10,-5,F Minor,4,3/30/2021,1H7zdcRD0gLGQY0w5ejGgX,TV Girl,4A,,https://i.scdn.co/image/ab67616d000048513cfca71bb96dacbb1c0fb2bf,
28,Goodie Bag,Still Woozy,78,138,"bedroom pop, oakland indie, pov: indie","Pop, Rock",Goodie Bag,11/5/2017,2:26,74,52,82,0,62,10,20,-12,G Minor,4,4/6/2021,4vHNeBWDQpVCmGbaccrRzi,"Still Woozy Productions Inc., under exclusive license to Interscope Records",6A,,https://i.scdn.co/image/ab67616d000048515ddbd61ea4a6dab213cc97af,
29,Show Me How,Men I Trust,74,166,"indie pop, pov: indie",Pop,Show Me How,2/28/2018,3:35,79,27,67,53,54,0,10,-12,F Major,4,4/18/2021,01TyFEZu6mHbffsVfxgrFn,Indie,7B,,https://i.scdn.co/image/ab67616d0000485140faefaf8ebe0e1564c60faa,
30,Nude,Radiohead,73,128,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock","Rock, Folk/Acoustic",In Rainbows,12/28/2007,4:15,52,34,83,58,17,0,0,-10,E Major,3,4/18/2021,35YyxFpE0ZTOoqFx5bADW8,XL Recordings,12B,https://p.scdn.co/mp3-preview/fc4c85406a8e9019bd3b1ee29c50156ce90659f2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851de3c04b5fc750b68899b20a9,
31,Weird Fishes/ Arpeggi,Radiohead,76,153,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock","Rock, Folk/Acoustic",In Rainbows,12/28/2007,5:18,53,61,77,76,20,0,0,-8,B Minor,4,4/18/2021,4wajJ1o7jWIg62YqpkHC7S,XL Recordings,10A,https://p.scdn.co/mp3-preview/84d22bb712ca5a5cc6d7f82ef097977e6b6d63e0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851de3c04b5fc750b68899b20a9,
