#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
31,"Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster","The Notorious B.I.G.,Mase,Diddy",77,105,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, contemporary r&b, harlem hip hop, hip pop, r&b, southern hip hop, urban contemporary, dance pop, pop rap","R&B, Pop, Hip Hop","Life After Death (2014 Remastered Edition)",1997-03-04,04:17,85,88,1,0,90,0,20,-5,F#/G♭ Minor,4,2021-07-05,4INDiWSKvqSKDEu7mh8HFz,"Rhino Atlantic",11A,https://p.scdn.co/mp3-preview/4a998f56e8a5a0093d4f29e2d5260ac2a8fee08a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fde79b88e2a659c394c5ae30
32,"Hypnotize - 2014 Remaster","The Notorious B.I.G.",84,94,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap","Hip Hop","Life After Death (2014 Remastered Edition)",1997-03-04,03:49,90,70,14,0,67,20,20,-3,A Major,4,2021-07-05,7KwZNVEaqikRSBSpyhXK2j,"Rhino Atlantic",11B,https://p.scdn.co/mp3-preview/6aa2483fe9ac2dae624a1a88952aa24bb5c2414e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fde79b88e2a659c394c5ae30
33,"Juicy - 2005 Remaster","The Notorious B.I.G.",77,96,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap","Hip Hop","Ready to Die (The Remaster)",1994-09-13,05:02,89,82,47,0,78,20,10,-5,A Major,4,2021-07-05,5ByAIlEEnxYdvpnezg7HTX,"Bad Boy Records",11B,https://p.scdn.co/mp3-preview/bf2e9935d13f644f3e1386cd3a3f33109f80d3dd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851db09958534ac66f9a90d3cf7
34,"I Get Around","2Pac,Digital Underground",71,96,"g funk, gangster rap, hip hop, rap, west coast rap, conscious hip hop, hardcore hip hop","Hip Hop","Strictly 4 My N.I.G.G.A.Z...",1993-02-16,04:19,85,42,16,0,65,10,20,-14,A#/B♭ Minor,4,2021-07-05,4voEoczU7Ijborps9XF1n3,"Interscope",3A,,https://i.scdn.co/image/ab67616d000048517f6f6c9e4b492a3d7e910d82
35,"All Eyez On Me","2Pac",2,93,"g funk, gangster rap, hip hop, rap, west coast rap","Hip Hop","All Eyez On Me",1996-02-13,05:07,87,72,3,0,86,20,30,-6,C♯/D♭ Major,4,2021-07-05,2xTft6GEZeTyWNpdX94rkf,"Death Row Records",3B,,https://i.scdn.co/image/ab67616d00004851a786ad0992cfe0b2719729bf
36,"Ambitionz Az A Ridah","2Pac",2,87,"g funk, gangster rap, hip hop, rap, west coast rap","Hip Hop","All Eyez On Me",1996-02-13,04:38,80,91,0,0,81,20,0,-7,D Major,4,2021-07-05,3ssX20QT5c3nA9wk78V1LQ,"Death Row Records",10B,,https://i.scdn.co/image/ab67616d00004851a786ad0992cfe0b2719729bf
37,"Hit 'em Up","2Pac",0,95,"g funk, gangster rap, hip hop, rap, west coast rap","Hip Hop","Nu-mixx Klazzics",2003-10-07,04:16,84,80,24,0,81,30,30,-4,C Major,4,2021-07-05,6WLTmiz0i2R938j1KMcSVk,"eOne Music",8B,,https://i.scdn.co/image/ab67616d000048515fa5f9af18b132d3c7a4d5df
38,"Write This Down (feat. Nieve)","SoulChef",5,93,"ambeat","Hip Hop","Escapism",2010-11-17,03:09,82,82,17,1,84,10,20,-4,A#/B♭ Minor,4,2021-07-05,7uJvH1U5rhQBEwJILAyA3D,"Goontrax",3A,,https://i.scdn.co/image/ab67616d00004851e7023e995978faf62c038f48
39,"The Recipe - Bonus Track","Kendrick Lamar,Dr. Dre",66,131,"conscious hip hop, hip hop, rap, west coast rap, g funk, gangster rap","Hip Hop","good kid, m.A.A.d city (Deluxe)",2012-10-22,05:52,76,78,0,0,51,0,30,-7,B Minor,4,2021-07-05,5jHilrZDaP1vJMZfdN1He3,"Aftermath",10A,,https://i.scdn.co/image/ab67616d0000485178de8b28de36a74afc0348b5
40,"Hardknock","Joey Bada$$,CJ Fly",56,82,"conscious hip hop, hip hop, rap, underground hip hop","Hip Hop","1999",2012-06-12,05:18,64,89,9,0,54,20,80,-2,G Minor,4,2021-07-05,3QbsrWxq3JyNov94VzbNdB,"PRO ERA / EMPIRE",6A,https://p.scdn.co/mp3-preview/932a6327ea38247bdfeb288fa43519322c1ec807?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fcd3724fba954e6104e4530d
41,"Everyday Normal Guy 2","Jon Lajoie",74,90,"comedy rap, comic, parody","Hip Hop, Rock","You Want Some of This?",2009-03-18,03:15,82,73,42,0,88,30,30,-4,D#/E♭ Major,4,2021-07-05,2hhFpD32iXUd4GaCu6T4wn,"Normal Guy Productions",5B,https://p.scdn.co/mp3-preview/f81d737dc34409653a189478eedc09138b0a62e8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ec0a9eea5aa9110401cebaf4
