#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
15,"Ms. Jackson","Outkast",84,95,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop","Hip Hop","Stankonia",2000-10-31,04:30,84,81,14,0,61,20,0,-6,E Minor,4,2021-07-05,0I3q5fE6wg7LIfHGngUTnV,"Arista/LaFace Records",9A,https://p.scdn.co/mp3-preview/06f8cc47c72dae9e9a66081b4dc912e9d9b430a9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512350e31bc346a6c20e9de166
16,"Summertime - Live at The Carousel Ballroom, San Francisco, CA - June 1968","Big Brother & The Holding Company,Janis Joplin",34,83,"blues rock, folk rock, psychedelic rock, album rock, classic rock, hard rock, rock","Rock","Joplin In Concert",1972-05-01,04:45,41,36,20,9,26,0,30,-16,G Minor,3,2021-07-05,4Mro84fzF8WCIS4QHIx5OF,"Columbia",6A,https://p.scdn.co/mp3-preview/47f63a93dcb081130721024e10f5d3d814bc56ea?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ca7e431effdfef8523a84325
17,"No One Knows","Queens of the Stone Age",75,170,"alternative metal, alternative rock, grunge, modern rock, palm desert scene, rock, stoner metal, stoner rock","Metal, Rock","Songs For The Deaf",2002-01-01,04:38,51,58,4,0,69,0,30,-5,C Major,4,2021-07-05,6y20BV5L33R8YXM0YuI38N,"Polydor Associated Labels",8B,,https://i.scdn.co/image/ab67616d000048519eec33b045d88f87b9b06e67
18,"Sleep Drifter","King Gizzard & The Lizard Wizard",0,156,"australian psych, double drumming, microtonal, neo-psychedelic","Metal, Rock, Classical, Folk/Acoustic","Flying Microtonal Banana",2017-02-24,04:44,45,84,56,81,44,0,10,-7,C♯/D♭ Minor,3,2021-07-05,7m6NL3rDG7liYjefjvCgfr,"Heavenly Recordings",12A,,https://i.scdn.co/image/ab67616d00004851ffea9482bfd03a047ea8ca7d
19,"Black Hole Sun","Soundgarden",80,105,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock","Metal, Rock","Superunknown (Deluxe Edition)",1994-03-09,05:18,35,83,0,0,15,0,0,-5,F#/G♭ Major,4,2021-07-05,2EoOZnxNgtmZaD8uUmz2nD,"Geffen",2B,,https://i.scdn.co/image/ab67616d00004851ae6d8e36136353d550b2587d
20,"Mother","Danzig",75,148,"alternative metal, groove metal, grunge, hard rock, metal, nu metal, punk","Metal, Rock","Danzig",1988-01-01,03:24,37,76,1,0,34,0,0,-9,B Minor,4,2021-07-05,7txxAtOMwLLnQTpKeBL6bp,"American Recordings Catalog P&D",10A,,https://i.scdn.co/image/ab67616d00004851bc8d8db760af7b9d0c91747f
21,"Go With The Flow","Queens of the Stone Age",72,159,"alternative metal, alternative rock, grunge, modern rock, palm desert scene, rock, stoner metal, stoner rock","Metal, Rock","Songs For The Deaf",2002-01-01,03:07,25,99,1,8,42,0,80,-4,A Major,4,2021-07-05,0wzRcekWyVCSyPtlPOeJau,"Polydor Associated Labels",11B,,https://i.scdn.co/image/ab67616d000048519eec33b045d88f87b9b06e67
22,"You're The Best (Theme From The Karate Kid) [Originally Performed by Joe Esposito]","Beer Tone",28,95,"","","You're The Best",2010-09-15,03:03,57,83,1,0,87,0,10,-6,E Minor,4,2021-07-05,3cGDEM1lcQSZPWUGnesWOV,"Oglio Entertainment",9A,https://p.scdn.co/mp3-preview/a26c14bedc8dbe12018780170d8016ee285cca90?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a3a96f53e988fba3df7ef7b8
23,"Sexual Healing","Hot 8 Brass Band",7,103,"brass band, new orleans funk, second line, street band","R&B, Blues","Chef (Original Motion Picture Soundtrack)",2014-01-01,04:59,59,42,8,1,29,0,0,-8,C♯/D♭ Major,4,2021-07-05,0Ko8Eu6BVTk3qgJpp4kyM2,"Editions Milan Music",3B,,https://i.scdn.co/image/ab67616d000048513166583beacb2eb9541b5030
24,"Bang! Bang!","Joe Cuba Sextet",46,127,"boogaloo, latin jazz, salsa","Latin, Jazz","Wanted Dead Or Alive (Bang Bang Push Push Push)",1965-12-31,04:06,62,91,79,0,71,0,70,-4,D#/E♭ Major,4,2021-07-05,0gbeHMR4ESdykYOwWQ3PBw,"Fania",5B,,https://i.scdn.co/image/ab67616d000048514e6b2430b4a5907b1abfa529
25,"Mi Swing Es Tropical","Quantic,Nickodemus,Tempo & The Candela Allstars",43,100,"downtempo, electronica, latin alternative, nu jazz, nu-cumbia, trip hop, bboy, electro jazz, funky breaks, ","R&B, Electronic, Jazz, Latin, Pop","Mi Swing Es Tropical",2007-05-23,03:53,84,94,1,0,97,10,30,-6,F#/G♭ Major,4,2021-07-05,4EehpGBxUO8tOSvttzTucd,"Tru Thoughts",2B,https://p.scdn.co/mp3-preview/51f613f8e384723e9c405193cae6303d46beb4db?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485139f5ac1a2dc02d31d33bd036
26,"Hey Hey, My My (Into the Black)","Neil Young",0,122,"canadian singer-songwriter, classic canadian rock, classic rock, folk rock, mellow gold, permanent wave, rock, roots rock, singer-songwriter","Folk/Acoustic, Rock","Greatest Hits",2004-11-15,05:14,52,94,26,41,56,0,70,-6,E Minor,4,2021-07-05,0yjhcB1fBuZ9SN7nn4mVB2,"Reprise",9A,,https://i.scdn.co/image/ab67616d00004851502eba77354073708a8aeacb
27,"99 Luftballons","Nena",49,95,"german pop, new wave pop","Pop","Nena",1983-09-23,03:52,57,56,10,0,50,0,10,-7,E Major,4,2021-07-05,4ZhPLoMzZwewHLLjV1J15c,"BMG Rights Management GmbH",12B,,https://i.scdn.co/image/ab67616d000048510a043c8c45330aa972c46339
28,"Shine A Light","BANNERS",60,195,"indie poptimism","Pop","Shine A Light",2015-09-18,03:45,32,80,4,0,10,0,10,-4,C Major,4,2021-07-05,1fDtoTPDyzkNOfFIRXxsC5,"Island Records",8B,,https://i.scdn.co/image/ab67616d000048512832ed742ede7e7060c817d1
29,"Butterfly","Crazy Town",75,104,"alternative metal, funk metal, nu metal, post-grunge, rap rock","Metal, Rock","The Gift Of Game",1999-11-04,03:36,74,81,0,0,61,0,10,-4,A Minor,4,2021-07-05,4BggEwLhGfrbrl7JBhC8EC,"Columbia",8A,https://p.scdn.co/mp3-preview/9d3bbc954641720af57379d0ef40a9e3dd807335?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851be3d60f650c3b9dbad061f7f
30,"Where Evil Grows","The Poppy Family,Terry Jacks,Susan Jacks",50,108,"canadian psychedelic, classic canadian rock, psychedelic folk, ","Rock, Folk/Acoustic","A Good Thing Lost: 1968-1973",1996-06-11,02:51,56,66,34,0,68,0,10,-10,G Minor,4,2021-07-05,3w56u6nrL0K1YYpinkfTeP,"What Are Records?",6A,https://p.scdn.co/mp3-preview/a4cd818a05cf78f9479e772aa11c5a8f09013266?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485106773c821c86d02fe0ee8683
