#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Old Town Road - Remix","Lil Nas X,Billy Ray Cyrus",78,136,"lgbtq+ hip hop, country rock","Rock, Hip Hop","7 EP",2019-06-21,02:37,88,62,5,0,64,10,10,-6,F#/G♭ Major,4,2020-06-22,2YpeDb67231RjR0MgVLzsG,"Columbia",2B,https://p.scdn.co/mp3-preview/32744d501b733e5b31d25448540e365db2600c45?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c0e7bf5cdd630f314f20586a
2,"bad guy","Billie Eilish",85,135,"art pop, pop","Pop","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,03:14,70,43,33,13,56,30,10,-11,G Major,4,2020-06-22,2Fxmhks0bxGSBdJ92vM42m,"Darkroom/Interscope Records",9B,,https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce
3,"Señorita","Shawn Mendes,Camila Cabello",82,117,"canadian pop, pop, viral pop, dance pop","Pop","Shawn Mendes (Deluxe)",2019-06-19,03:10,76,55,4,0,75,0,0,-6,A Minor,4,2020-06-22,6v3KW9xbzN5yKLt9YKDYA2,"Island Records",8A,,https://i.scdn.co/image/ab67616d00004851c820f033bd82bef4355d1563
4,"7 rings","Ariana Grande",87,140,"pop","Pop","thank u, next",2019-02-08,02:58,78,32,59,0,33,30,0,-11,C♯/D♭ Minor,4,2020-06-22,6ocbgoVGwYJhOv1GgI9NsF,"Republic Records",12A,,https://i.scdn.co/image/ab67616d0000485156ac7b86e090f307e218e9c8
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone,Swae Lee",87,90,"dfw rap, melodic rap, pop, rap, trap","Hip Hop, Pop","Hollywood's Bleeding",2019-09-06,02:37,76,52,53,0,93,0,0,-4,D Major,4,2020-06-22,0RiRZpuVRbi7oqRdSMwhQY,"Republic Records",10B,,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02
6,"Cruel Summer","Taylor Swift",99,170,"pop","Pop","Lover",2019-08-23,02:58,55,70,12,0,56,10,10,-6,A Major,4,2021-08-17,1BxfuPKGuaTgP7aM0Bbdwr,"Taylor Swift",11B,,https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647
7,"Without Me","Halsey",76,136,"electropop, etherpop, indie poptimism, pop","Pop","Without Me",2018-10-04,03:21,75,49,30,0,53,0,0,-7,F#/G♭ Major,4,2020-06-22,5p7ujcrUXASCNwRaWNHR1C,"Capitol Records",2B,,https://i.scdn.co/image/ab67616d00004851c42acc1b86597285c2c79559
8,"Let Me Down Slowly","Alec Benjamin",88,150,"alt z, pop, pov: indie","Pop","Narrated For You",2018-11-16,02:49,65,56,74,0,48,0,10,-6,C♯/D♭ Minor,4,2020-06-22,2qxmye6gAegTMjLKEBoR3d,"2018",12A,https://p.scdn.co/mp3-preview/19007111a4e21096bcefef77842d7179f0cdf12a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851459d675aa0b6f3b211357370
9,"Shallow","Lady Gaga,Bradley Cooper",86,96,"art pop, dance pop, pop, hollywood","Pop, Easy listening","A Star Is Born Soundtrack",2018-10-05,03:35,57,39,37,0,32,0,20,-6,G Major,4,2020-06-22,2VxeLyX666F8uXCJ0dZF8B,"A Star is Born OST",9B,,https://i.scdn.co/image/ab67616d00004851e2d156fdc691f57900134342
10,"lovely (with Khalid)","Billie Eilish,Khalid",91,115,"art pop, pop, pop r&b","Pop, R&B","lovely (with Khalid)",2018-04-19,03:20,35,30,93,0,12,0,10,-10,E Minor,4,2020-06-22,0u2P5u6lvoDfwTYjAADbn4,"Darkroom",9A,,https://i.scdn.co/image/ab67616d000048518a3f0a3ca7929dea23cd274c
11,"Someone You Loved","Lewis Capaldi",91,110,"pop, uk pop","Pop","Divinely Uninspired To A Hellish Extent",2019-05-17,03:02,50,41,75,0,45,0,10,-6,C♯/D♭ Major,4,2020-06-22,7qEHsqek33rTcFNT9PFqLf,"Vertigo Berlin",3B,,https://i.scdn.co/image/ab67616d00004851fc2101e6889d6ce9025f85f2
12,"Circles","Post Malone",89,120,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop","Hollywood's Bleeding",2019-09-06,03:35,70,76,19,0,55,0,0,-3,C Major,4,2020-06-22,21jGcNKet2qwijlDFuPiPb,"Republic Records",8B,,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02
13,"Lover","Taylor Swift",92,69,"pop","Pop","Lover",2019-08-23,03:41,36,54,49,0,45,0,10,-8,G Major,4,2020-06-22,1dGr1c8CrMLDpV6mPbImSI,"Taylor Swift",9B,,https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647
14,"SICKO MODE","Travis Scott",87,155,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,05:12,83,73,1,0,45,20,10,-4,G#/A♭ Major,4,2020-06-22,2xLMifQCjDGFmkHkpNLD9h,"Cactus Jack / Epic",4B,https://p.scdn.co/mp3-preview/8229545ded5cacf393f62b17af653dfc8171fc85?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
15,"Lost in the Fire (feat. The Weeknd)","Gesaffelstein,The Weeknd",85,101,"dark clubbing, canadian contemporary r&b, canadian pop, pop","R&B, Pop, Electronic","Hyperion",2019-03-08,03:22,66,67,9,0,17,0,10,-12,D Major,4,2021-10-28,2vXKRlJBXyOcvZYTdNeckS,"Columbia",10B,https://p.scdn.co/mp3-preview/d5e5adc04a0da97852782c7c4a49807a3f5a0262?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851011a2f51fe757fafe13a0c2e
16,"Sweet but Psycho","Ava Max",85,133,"pop","Pop","Heaven & Hell",2020-09-18,03:07,72,71,7,0,62,0,10,-5,C♯/D♭ Major,4,2020-06-22,7DnAm9FOTWE3cUvso43HhI,"Atlantic Records",3B,https://p.scdn.co/mp3-preview/fab7f8e87979878248e78a3cdb7e28222d45dcec?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519a95e89d24214b94de36ccf7
17,"Ransom","Lil Tecca",84,180,"melodic rap, pluggnb, rap","Hip Hop","We Love You Tecca",2019-08-30,02:11,75,64,2,0,23,20,0,-6,G Minor,4,2020-06-22,1lOe9qE0vR9zwWQAOk6CoO,"Republic Records",6A,,https://i.scdn.co/image/ab67616d00004851bd69bbde4aeee723d6d08058
18,"Wow.","Post Malone",84,100,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop","Hollywood's Bleeding",2019-09-06,02:29,83,54,14,0,39,20,10,-7,B Minor,4,2020-06-22,7xQAfvXzm3AkraOtGPWIZg,"Republic Records",10A,,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02
19,"when the party's over","Billie Eilish",86,83,"art pop, pop","Pop","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,03:16,37,11,98,0,20,10,0,-14,E Major,4,2020-06-22,43zdsphuZLzwA9k4DJhU0I,"Darkroom/Interscope Records",12B,,https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce
20,"MIDDLE CHILD","J. Cole",84,124,"conscious hip hop, hip hop, north carolina hip hop, rap","Hip Hop","MIDDLE CHILD",2019-01-23,03:33,84,36,15,0,46,20,20,-12,G#/A♭ Major,4,2020-06-22,2JvzF1RMd7lE3KmFlsyZD8,"Dreamville, Inc., Under exclusive license to Roc Nation Records",4B,,https://i.scdn.co/image/ab67616d000048517f37a4001ae7d8be430bd91b
21,"thank u, next","Ariana Grande",84,107,"pop","Pop","thank u, next",2019-02-08,03:27,72,65,23,0,41,0,10,-6,C♯/D♭ Major,4,2020-06-22,3e9HZxeyfWwjeyPAMmWSSQ,"Republic Records",3B,,https://i.scdn.co/image/ab67616d0000485156ac7b86e090f307e218e9c8
22,"Doin' Time","Lana Del Rey",84,145,"art pop, pop","Pop","Norman Fucking Rockwell!",2019-08-30,03:22,64,56,40,0,52,0,0,-11,G Minor,4,2020-06-22,0Oqc0kKFsQ6MhFOLBNZIGX,"Polydor Records",6A,,https://i.scdn.co/image/ab67616d00004851879e9318cb9f4e05ee552ac9
23,"You Need To Calm Down","Taylor Swift",84,85,"pop","Pop","Lover",2019-08-23,02:51,77,67,1,0,71,0,0,-6,D Major,4,2020-06-22,6RRNNciQGZEXnqk8SQ9yv5,"Taylor Swift",10B,,https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647
24,"Bruises","Lewis Capaldi",84,111,"pop, uk pop","Pop","Divinely Uninspired To A Hellish Extent",2019-05-17,03:40,74,31,95,0,36,0,10,-8,E Major,4,2020-06-22,4Of7rzpRpV1mWRbhp5rAqG,"Vertigo Berlin",12B,,https://i.scdn.co/image/ab67616d00004851fc2101e6889d6ce9025f85f2
25,"a lot","21 Savage",84,146,"atl hip hop, hip hop, rap","Hip Hop","i am > i was",2018-12-21,04:48,84,64,4,0,27,0,30,-8,C♯/D♭ Major,4,2020-06-22,2t8yVaLvJ0RenpXUIAC52d,"Slaughter Gang, LLC/Epic Records",3B,https://p.scdn.co/mp3-preview/8e4bedd4dd85c00a3cd298e59f209fd23818b7d6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851280689ecc5e4b2038bb5e4bd
26,"Better Now","Post Malone",83,145,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop","beerbongs & bentleys",2018-04-27,03:51,68,58,33,0,34,0,10,-6,A#/B♭ Major,4,2020-06-22,7dt6x5M1jzdTEt8oCbisTK,"Republic Records",6B,,https://i.scdn.co/image/ab67616d00004851b1c4b76e23414c9f20242268
27,"EARFQUAKE","Tyler, The Creator",83,80,"hip hop, rap","Hip Hop","IGOR",2019-05-17,03:10,55,50,23,0,41,0,80,-9,A Major,4,2020-06-22,5hVghJ4KaYES3BFUATCYn0,"Columbia",11B,https://p.scdn.co/mp3-preview/d12bb695962e3e21ad6f737898de806ad970671a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517005885df706891a3c182a57
28,"Robbery","Juice WRLD",83,80,"chicago rap, melodic rap, rap","Hip Hop","Death Race For Love (Bonus Track Version)",2019-03-08,04:00,62,69,33,0,57,0,10,-5,D Major,4,2020-06-22,6iaSML1PIYq936g62BDtBq,"Grade A Productions/Interscope Records",10B,,https://i.scdn.co/image/ab67616d000048518b27d35aa2c6dcf99895d664
29,"High Hopes","Panic! At The Disco",83,82,"modern rock, pop","Rock, Pop","Pray for the Wicked",2018-06-22,03:10,58,90,19,0,68,0,0,-3,F Major,4,2020-06-22,1rqqCSm0Qe4I9rUvWncaom,"DCD2 / Fueled By Ramen",7B,https://p.scdn.co/mp3-preview/f6995ad54d79b7ffaf0da6833409666ada11a173?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c5148520a59be191eea16989
30,"Lose You To Love Me","Selena Gomez",83,103,"pop, post-teen pop","Pop","Rare",2020-01-10,03:26,49,34,56,0,10,0,20,-9,E Major,4,2020-06-22,4l0Mvzj72xxOpRrp6h8nHi,"Interscope Records",12B,,https://i.scdn.co/image/ab67616d000048512abcc266597eb46f897a8666
31,"Sucker","Jonas Brothers",82,138,"boy band, pop","Pop","Happiness Begins",2019-06-07,03:01,84,73,4,0,95,0,10,-5,C♯/D♭ Minor,4,2020-06-22,22vgEDb5hykfaTwLuskFGD,"Jonas Brothers Recording",12A,,https://i.scdn.co/image/ab67616d00004851de1a3a5eaa0c75bb18e7b597
32,"Ride It","Regard",82,118,"pop dance, pop edm, slap house, uk dance","Electronic","Ride It",2019-07-26,02:37,88,75,18,0,88,0,10,-4,G Minor,4,2020-06-22,2tnVG71enUj33Ic2nFN6kZ,"Ministry of Sound Recordings",6A,https://p.scdn.co/mp3-preview/ce29bb243cf40118b87070b00a49822e09a317b1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515c27813ae019011fcb370c78
33,"boyfriend (with Social House)","Ariana Grande,Social House",82,190,"pop, ","Pop","boyfriend",2019-08-02,03:06,40,80,12,0,70,40,10,-4,A#/B♭ Minor,4,2020-06-22,0Ryd8975WihbObpp5cPW1t,"Republic Records",3A,,https://i.scdn.co/image/ab67616d000048512ca010dcf3863a07611d8b4f
34,"Going Bad (feat. Drake)","Meek Mill,Drake",81,86,"hip hop, philly rap, pop rap, rap, southern hip hop, trap, canadian hip hop, canadian pop","Hip Hop, Pop","Championships",2018-11-30,03:00,89,50,26,0,54,0,20,-6,E Minor,4,2020-06-22,2IRZnDFmlqMuOrYOLnZZyc,"MMG/Atlantic",9A,https://p.scdn.co/mp3-preview/d99e58e0b5eed07a7fb99f29838dbfdd08178093?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cd63c5962050729d260077d6
35,"Goodbyes (feat. Young Thug)","Post Malone,Young Thug",81,150,"dfw rap, melodic rap, pop, rap, atl hip hop, atl trap, gangster rap, trap","Hip Hop, Pop","Hollywood's Bleeding",2019-09-06,02:54,55,65,46,0,16,0,10,-4,F Major,4,2020-06-22,0t3ZvGKlmYmVsDzBJAXK8C,"Republic Records",7B,,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02
36,"Hold Me While You Wait","Lewis Capaldi",81,107,"pop, uk pop","Pop","Divinely Uninspired To A Hellish Extent",2019-05-17,03:25,69,53,44,0,16,0,10,-6,B Major,4,2020-06-22,60iSKGrGazRzICtMjADNSM,"Vertigo Berlin",1B,,https://i.scdn.co/image/ab67616d00004851fc2101e6889d6ce9025f85f2
37,"ZEZE (feat. Travis Scott & Offset)","Kodak Black,Offset,Travis Scott",80,98,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino, atl hip hop, hip hop, pop rap, slap house","Hip Hop, Electronic, Latin","Dying to Live",2018-12-14,03:48,86,60,5,0,50,10,0,-6,G#/A♭ Minor,4,2020-06-22,0FZ4Dmg8jJJAPJnvBIzD9z,"Atlantic Records",1A,https://p.scdn.co/mp3-preview/08f1dd44f568b292b28283d9da851c0625ef0075?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f9508eb3070b95ceeb82788b
38,"Pop Out (feat. Lil Tjay)","Polo G,Lil Tjay",80,168,"chicago rap, rap, brooklyn drill, melodic rap, nyc rap","Hip Hop","Die A Legend",2019-06-07,02:46,77,64,15,0,26,40,0,-7,C♯/D♭ Major,4,2020-06-22,6uFn47ACjqYkc0jADwEdj1,"Columbia",3B,https://p.scdn.co/mp3-preview/48e0af5e57feb139e0f3bfaf6ccaf87b5f9475ab?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ae8b07ecdcf7aadefe00264f
39,"Con Calma","Daddy Yankee,Snow",80,94,"latin hip hop, reggaeton, trap latino, urbano latino, canadian old school hip hop, reggae fusion","Hip Hop, Pop, Latin","Con Calma",2019-01-24,03:13,74,86,11,0,66,0,0,-3,G#/A♭ Minor,4,2020-06-22,5w9c2J52mkdntKOmRLeM2m,"El Cartel Records (EC3)",1A,,https://i.scdn.co/image/ab67616d00004851896ffcd42561c44fea2bae7b
40,"Location (feat. Burna Boy)","Dave,Burna Boy",80,110,"uk hip hop, afrobeats, azontobeats, dancehall, nigerian hip hop, nigerian pop","R&B, World/Traditional, Hip Hop, Pop","PSYCHODRAMA",2019-03-08,04:01,81,50,27,0,55,30,10,-6,A Minor,4,2020-06-22,3z4CGd63tpUn9a6oQSG0CI,"Neighbourhood",8A,,https://i.scdn.co/image/ab67616d00004851c1c8d2889455db6d03d309ed
